vector_id,video_name,frame_path,frame_pos
73,video_025,c:\Crawl\video_retrieval_project\data\masks\video_025_frame000600.jpg,600
74,video_025,c:\Crawl\video_retrieval_project\data\masks\video_025_frame000900.jpg,900
75,video_026,c:\Crawl\video_retrieval_project\data\masks\video_026_frame000151.jpg,151
76,video_026,c:\Crawl\video_retrieval_project\data\masks\video_026_frame000302.jpg,302
77,video_026,c:\Crawl\video_retrieval_project\data\masks\video_026_frame000453.jpg,453
78,video_027,c:\Crawl\video_retrieval_project\data\masks\video_027_frame000401.jpg,401
79,video_027,c:\Crawl\video_retrieval_project\data\masks\video_027_frame000802.jpg,802
80,video_027,c:\Crawl\video_retrieval_project\data\masks\video_027_frame001203.jpg,1203
81,video_028,c:\Crawl\video_retrieval_project\data\masks\video_028_frame000159.jpg,159
82,video_028,c:\Crawl\video_retrieval_project\data\masks\video_028_frame000318.jpg,318
83,video_028,c:\Crawl\video_retrieval_project\data\masks\video_028_frame000477.jpg,477
84,video_029,c:\Crawl\video_retrieval_project\data\masks\video_029_frame000227.jpg,227
85,video_029,c:\Crawl\video_retrieval_project\data\masks\video_029_frame000454.jpg,454
86,video_029,c:\Crawl\video_retrieval_project\data\masks\video_029_frame000681.jpg,681
87,video_030,c:\Crawl\video_retrieval_project\data\masks\video_030_frame000108.jpg,108
88,video_030,c:\Crawl\video_retrieval_project\data\masks\video_030_frame000216.jpg,216
89,video_030,c:\Crawl\video_retrieval_project\data\masks\video_030_frame000324.jpg,324
90,video_031,c:\Crawl\video_retrieval_project\data\masks\video_031_frame000193.jpg,193
91,video_031,c:\Crawl\video_retrieval_project\data\masks\video_031_frame000386.jpg,386
92,video_031,c:\Crawl\video_retrieval_project\data\masks\video_031_frame000579.jpg,579
93,video_032,c:\Crawl\video_retrieval_project\data\masks\video_032_frame000170.jpg,170
94,video_032,c:\Crawl\video_retrieval_project\data\masks\video_032_frame000340.jpg,340
95,video_032,c:\Crawl\video_retrieval_project\data\masks\video_032_frame000510.jpg,510
96,video_033,c:\Crawl\video_retrieval_project\data\masks\video_033_frame000141.jpg,141
97,video_033,c:\Crawl\video_retrieval_project\data\masks\video_033_frame000282.jpg,282
98,video_033,c:\Crawl\video_retrieval_project\data\masks\video_033_frame000423.jpg,423
99,video_034,c:\Crawl\video_retrieval_project\data\masks\video_034_frame000306.jpg,306
100,video_034,c:\Crawl\video_retrieval_project\data\masks\video_034_frame000612.jpg,612
101,video_034,c:\Crawl\video_retrieval_project\data\masks\video_034_frame000918.jpg,918
102,video_035,c:\Crawl\video_retrieval_project\data\masks\video_035_frame000125.jpg,125
103,video_035,c:\Crawl\video_retrieval_project\data\masks\video_035_frame000250.jpg,250
104,video_035,c:\Crawl\video_retrieval_project\data\masks\video_035_frame000375.jpg,375
105,video_036,c:\Crawl\video_retrieval_project\data\masks\video_036_frame000097.jpg,97
106,video_036,c:\Crawl\video_retrieval_project\data\masks\video_036_frame000194.jpg,194
107,video_036,c:\Crawl\video_retrieval_project\data\masks\video_036_frame000291.jpg,291
108,video_037,c:\Crawl\video_retrieval_project\data\masks\video_037_frame000116.jpg,116
109,video_037,c:\Crawl\video_retrieval_project\data\masks\video_037_frame000232.jpg,232
110,video_037,c:\Crawl\video_retrieval_project\data\masks\video_037_frame000348.jpg,348
111,video_038,c:\Crawl\video_retrieval_project\data\masks\video_038_frame000144.jpg,144
112,video_038,c:\Crawl\video_retrieval_project\data\masks\video_038_frame000288.jpg,288
113,video_038,c:\Crawl\video_retrieval_project\data\masks\video_038_frame000432.jpg,432
114,video_039,c:\Crawl\video_retrieval_project\data\masks\video_039_frame000142.jpg,142
115,video_039,c:\Crawl\video_retrieval_project\data\masks\video_039_frame000284.jpg,284
116,video_039,c:\Crawl\video_retrieval_project\data\masks\video_039_frame000426.jpg,426
117,video_040,c:\Crawl\video_retrieval_project\data\masks\video_040_frame000129.jpg,129
118,video_040,c:\Crawl\video_retrieval_project\data\masks\video_040_frame000258.jpg,258
119,video_040,c:\Crawl\video_retrieval_project\data\masks\video_040_frame000387.jpg,387
120,video_041,c:\Crawl\video_retrieval_project\data\masks\video_041_frame000102.jpg,102
121,video_041,c:\Crawl\video_retrieval_project\data\masks\video_041_frame000204.jpg,204
122,video_041,c:\Crawl\video_retrieval_project\data\masks\video_041_frame000306.jpg,306
123,video_042,c:\Crawl\video_retrieval_project\data\masks\video_042_frame000116.jpg,116
124,video_042,c:\Crawl\video_retrieval_project\data\masks\video_042_frame000232.jpg,232
125,video_042,c:\Crawl\video_retrieval_project\data\masks\video_042_frame000348.jpg,348
126,video_043,c:\Crawl\video_retrieval_project\data\masks\video_043_frame000219.jpg,219
127,video_043,c:\Crawl\video_retrieval_project\data\masks\video_043_frame000438.jpg,438
128,video_043,c:\Crawl\video_retrieval_project\data\masks\video_043_frame000657.jpg,657
129,video_044,c:\Crawl\video_retrieval_project\data\masks\video_044_frame000192.jpg,192
130,video_044,c:\Crawl\video_retrieval_project\data\masks\video_044_frame000384.jpg,384
131,video_044,c:\Crawl\video_retrieval_project\data\masks\video_044_frame000576.jpg,576
132,video_045,c:\Crawl\video_retrieval_project\data\masks\video_045_frame000045.jpg,45
133,video_045,c:\Crawl\video_retrieval_project\data\masks\video_045_frame000090.jpg,90
134,video_045,c:\Crawl\video_retrieval_project\data\masks\video_045_frame000135.jpg,135
135,video_046,c:\Crawl\video_retrieval_project\data\masks\video_046_frame000290.jpg,290
136,video_046,c:\Crawl\video_retrieval_project\data\masks\video_046_frame000580.jpg,580
137,video_046,c:\Crawl\video_retrieval_project\data\masks\video_046_frame000870.jpg,870
138,video_047,c:\Crawl\video_retrieval_project\data\masks\video_047_frame000073.jpg,73
139,video_047,c:\Crawl\video_retrieval_project\data\masks\video_047_frame000146.jpg,146
140,video_047,c:\Crawl\video_retrieval_project\data\masks\video_047_frame000219.jpg,219
141,video_048,c:\Crawl\video_retrieval_project\data\masks\video_048_frame000271.jpg,271
142,video_048,c:\Crawl\video_retrieval_project\data\masks\video_048_frame000542.jpg,542
143,video_048,c:\Crawl\video_retrieval_project\data\masks\video_048_frame000813.jpg,813
144,video_049,c:\Crawl\video_retrieval_project\data\masks\video_049_frame000084.jpg,84
145,video_049,c:\Crawl\video_retrieval_project\data\masks\video_049_frame000168.jpg,168
146,video_049,c:\Crawl\video_retrieval_project\data\masks\video_049_frame000252.jpg,252
147,video_050,c:\Crawl\video_retrieval_project\data\masks\video_050_frame000075.jpg,75
148,video_050,c:\Crawl\video_retrieval_project\data\masks\video_050_frame000150.jpg,150
149,video_050,c:\Crawl\video_retrieval_project\data\masks\video_050_frame000225.jpg,225
150,video_051,c:\Crawl\video_retrieval_project\data\masks\video_051_frame000226.jpg,226
151,video_051,c:\Crawl\video_retrieval_project\data\masks\video_051_frame000452.jpg,452
152,video_051,c:\Crawl\video_retrieval_project\data\masks\video_051_frame000678.jpg,678
153,video_052,c:\Crawl\video_retrieval_project\data\masks\video_052_frame000112.jpg,112
154,video_052,c:\Crawl\video_retrieval_project\data\masks\video_052_frame000224.jpg,224
155,video_052,c:\Crawl\video_retrieval_project\data\masks\video_052_frame000336.jpg,336
156,video_053,c:\Crawl\video_retrieval_project\data\masks\video_053_frame000225.jpg,225
157,video_053,c:\Crawl\video_retrieval_project\data\masks\video_053_frame000450.jpg,450
158,video_053,c:\Crawl\video_retrieval_project\data\masks\video_053_frame000675.jpg,675
159,video_054,c:\Crawl\video_retrieval_project\data\masks\video_054_frame000225.jpg,225
160,video_054,c:\Crawl\video_retrieval_project\data\masks\video_054_frame000450.jpg,450
161,video_054,c:\Crawl\video_retrieval_project\data\masks\video_054_frame000675.jpg,675
162,video_055,c:\Crawl\video_retrieval_project\data\masks\video_055_frame000225.jpg,225
163,video_055,c:\Crawl\video_retrieval_project\data\masks\video_055_frame000450.jpg,450
164,video_055,c:\Crawl\video_retrieval_project\data\masks\video_055_frame000675.jpg,675
165,video_056,c:\Crawl\video_retrieval_project\data\masks\video_056_frame000078.jpg,78
166,video_056,c:\Crawl\video_retrieval_project\data\masks\video_056_frame000156.jpg,156
167,video_056,c:\Crawl\video_retrieval_project\data\masks\video_056_frame000234.jpg,234
168,video_057,c:\Crawl\video_retrieval_project\data\masks\video_057_frame000156.jpg,156
169,video_057,c:\Crawl\video_retrieval_project\data\masks\video_057_frame000312.jpg,312
170,video_057,c:\Crawl\video_retrieval_project\data\masks\video_057_frame000468.jpg,468
171,video_058,c:\Crawl\video_retrieval_project\data\masks\video_058_frame000314.jpg,314
172,video_058,c:\Crawl\video_retrieval_project\data\masks\video_058_frame000628.jpg,628
173,video_058,c:\Crawl\video_retrieval_project\data\masks\video_058_frame000942.jpg,942
174,video_059,c:\Crawl\video_retrieval_project\data\masks\video_059_frame000151.jpg,151
175,video_059,c:\Crawl\video_retrieval_project\data\masks\video_059_frame000302.jpg,302
176,video_059,c:\Crawl\video_retrieval_project\data\masks\video_059_frame000453.jpg,453
177,video_060,c:\Crawl\video_retrieval_project\data\masks\video_060_frame000162.jpg,162
178,video_060,c:\Crawl\video_retrieval_project\data\masks\video_060_frame000324.jpg,324
179,video_060,c:\Crawl\video_retrieval_project\data\masks\video_060_frame000486.jpg,486
180,video_061,c:\Crawl\video_retrieval_project\data\masks\video_061_frame000112.jpg,112
181,video_061,c:\Crawl\video_retrieval_project\data\masks\video_061_frame000224.jpg,224
182,video_061,c:\Crawl\video_retrieval_project\data\masks\video_061_frame000336.jpg,336
183,video_062,c:\Crawl\video_retrieval_project\data\masks\video_062_frame000239.jpg,239
184,video_062,c:\Crawl\video_retrieval_project\data\masks\video_062_frame000478.jpg,478
185,video_062,c:\Crawl\video_retrieval_project\data\masks\video_062_frame000717.jpg,717
186,video_063,c:\Crawl\video_retrieval_project\data\masks\video_063_frame000198.jpg,198
187,video_063,c:\Crawl\video_retrieval_project\data\masks\video_063_frame000396.jpg,396
188,video_063,c:\Crawl\video_retrieval_project\data\masks\video_063_frame000594.jpg,594
189,video_064,c:\Crawl\video_retrieval_project\data\masks\video_064_frame000304.jpg,304
190,video_064,c:\Crawl\video_retrieval_project\data\masks\video_064_frame000608.jpg,608
191,video_064,c:\Crawl\video_retrieval_project\data\masks\video_064_frame000912.jpg,912
192,video_065,c:\Crawl\video_retrieval_project\data\masks\video_065_frame000137.jpg,137
193,video_065,c:\Crawl\video_retrieval_project\data\masks\video_065_frame000274.jpg,274
194,video_065,c:\Crawl\video_retrieval_project\data\masks\video_065_frame000411.jpg,411
195,video_066,c:\Crawl\video_retrieval_project\data\masks\video_066_frame000094.jpg,94
196,video_066,c:\Crawl\video_retrieval_project\data\masks\video_066_frame000188.jpg,188
197,video_066,c:\Crawl\video_retrieval_project\data\masks\video_066_frame000282.jpg,282
198,video_067,c:\Crawl\video_retrieval_project\data\masks\video_067_frame000150.jpg,150
199,video_067,c:\Crawl\video_retrieval_project\data\masks\video_067_frame000300.jpg,300
200,video_067,c:\Crawl\video_retrieval_project\data\masks\video_067_frame000450.jpg,450
201,video_068,c:\Crawl\video_retrieval_project\data\masks\video_068_frame000242.jpg,242
202,video_068,c:\Crawl\video_retrieval_project\data\masks\video_068_frame000484.jpg,484
203,video_068,c:\Crawl\video_retrieval_project\data\masks\video_068_frame000726.jpg,726
204,video_069,c:\Crawl\video_retrieval_project\data\masks\video_069_frame000136.jpg,136
205,video_069,c:\Crawl\video_retrieval_project\data\masks\video_069_frame000272.jpg,272
206,video_069,c:\Crawl\video_retrieval_project\data\masks\video_069_frame000408.jpg,408
207,video_070,c:\Crawl\video_retrieval_project\data\masks\video_070_frame000130.jpg,130
208,video_070,c:\Crawl\video_retrieval_project\data\masks\video_070_frame000260.jpg,260
209,video_070,c:\Crawl\video_retrieval_project\data\masks\video_070_frame000390.jpg,390
210,video_071,c:\Crawl\video_retrieval_project\data\masks\video_071_frame000137.jpg,137
211,video_071,c:\Crawl\video_retrieval_project\data\masks\video_071_frame000274.jpg,274
212,video_071,c:\Crawl\video_retrieval_project\data\masks\video_071_frame000411.jpg,411
213,video_072,c:\Crawl\video_retrieval_project\data\masks\video_072_frame000137.jpg,137
214,video_072,c:\Crawl\video_retrieval_project\data\masks\video_072_frame000274.jpg,274
215,video_072,c:\Crawl\video_retrieval_project\data\masks\video_072_frame000411.jpg,411
216,video_073,c:\Crawl\video_retrieval_project\data\masks\video_073_frame000144.jpg,144
217,video_073,c:\Crawl\video_retrieval_project\data\masks\video_073_frame000288.jpg,288
218,video_073,c:\Crawl\video_retrieval_project\data\masks\video_073_frame000432.jpg,432
219,video_074,c:\Crawl\video_retrieval_project\data\masks\video_074_frame000138.jpg,138
220,video_074,c:\Crawl\video_retrieval_project\data\masks\video_074_frame000276.jpg,276
221,video_074,c:\Crawl\video_retrieval_project\data\masks\video_074_frame000414.jpg,414
222,video_075,c:\Crawl\video_retrieval_project\data\masks\video_075_frame000440.jpg,440
223,video_075,c:\Crawl\video_retrieval_project\data\masks\video_075_frame000880.jpg,880
224,video_075,c:\Crawl\video_retrieval_project\data\masks\video_075_frame001320.jpg,1320
225,video_076,c:\Crawl\video_retrieval_project\data\masks\video_076_frame000245.jpg,245
226,video_076,c:\Crawl\video_retrieval_project\data\masks\video_076_frame000490.jpg,490
227,video_076,c:\Crawl\video_retrieval_project\data\masks\video_076_frame000735.jpg,735
228,video_077,c:\Crawl\video_retrieval_project\data\masks\video_077_frame000155.jpg,155
229,video_077,c:\Crawl\video_retrieval_project\data\masks\video_077_frame000310.jpg,310
230,video_077,c:\Crawl\video_retrieval_project\data\masks\video_077_frame000465.jpg,465
231,video_078,c:\Crawl\video_retrieval_project\data\masks\video_078_frame000092.jpg,92
232,video_078,c:\Crawl\video_retrieval_project\data\masks\video_078_frame000184.jpg,184
